workclass,education
Private,HS-grad
Private,HS-grad
Private,Prof-school
Private,Bachelors
State-gov,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Local-gov,Bachelors
Private,10th
Self-emp-not-inc,Some-college
Self-emp-not-inc,Masters
State-gov,Masters
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Bachelors
Private,7th-8th
Private,Some-college
State-gov,HS-grad
Private,Some-college
Private,Assoc-voc
Private,10th
Private,Bachelors
Private,HS-grad
Local-gov,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-inc,Bachelors
?,Some-college
Private,HS-grad
Private,Some-college
Private,Masters
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
Self-emp-not-inc,Bachelors
Private,Bachelors
Self-emp-not-inc,HS-grad
State-gov,Masters
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-inc,HS-grad
State-gov,Bachelors
Private,Some-college
Local-gov,Assoc-acdm
State-gov,Bachelors
Private,HS-grad
Private,Bachelors
Local-gov,Masters
Private,HS-grad
State-gov,Bachelors
Private,11th
Private,HS-grad
Self-emp-inc,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-acdm
Private,Assoc-acdm
Private,11th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
?,Some-college
State-gov,Some-college
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Assoc-voc
Private,HS-grad
Private,11th
Private,12th
Self-emp-not-inc,7th-8th
Self-emp-inc,HS-grad
?,HS-grad
?,11th
Private,Bachelors
Private,HS-grad
?,10th
Self-emp-not-inc,Masters
Private,HS-grad
Private,Bachelors
State-gov,Masters
Private,Bachelors
Self-emp-inc,Bachelors
Private,Some-college
Private,1st-4th
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,10th
Private,Some-college
Private,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
?,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
State-gov,Bachelors
Federal-gov,Some-college
Private,11th
?,Some-college
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,HS-grad
?,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
Local-gov,HS-grad
Private,Assoc-voc
Private,HS-grad
Federal-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,12th
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,10th
Self-emp-inc,Bachelors
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Masters
Private,HS-grad
Federal-gov,Some-college
Private,11th
Private,HS-grad
Private,HS-grad
State-gov,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,5th-6th
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
?,7th-8th
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,11th
Private,HS-grad
Local-gov,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Some-college
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Some-college
Private,11th
State-gov,HS-grad
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,7th-8th
Private,Bachelors
State-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,10th
Federal-gov,Bachelors
Private,10th
Private,Some-college
Private,Some-college
Private,5th-6th
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,12th
Private,Assoc-voc
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,11th
Private,HS-grad
Private,HS-grad
Local-gov,Masters
?,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Doctorate
Local-gov,Masters
Private,Assoc-acdm
Private,Some-college
Self-emp-not-inc,Assoc-acdm
Self-emp-not-inc,10th
Private,Some-college
Private,Assoc-voc
Private,Some-college
Private,HS-grad
State-gov,Some-college
Private,Bachelors
Private,Assoc-voc
State-gov,Masters
Private,10th
?,7th-8th
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Bachelors
Self-emp-not-inc,HS-grad
Private,11th
Self-emp-not-inc,Masters
Private,Some-college
Private,Some-college
Self-emp-inc,Prof-school
Private,Some-college
Federal-gov,10th
Private,Assoc-voc
Private,HS-grad
Private,Assoc-voc
Self-emp-not-inc,HS-grad
State-gov,Some-college
Private,HS-grad
Private,9th
Private,7th-8th
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Private,Bachelors
Federal-gov,Some-college
Private,Bachelors
Private,Masters
Private,11th
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Doctorate
State-gov,Bachelors
Self-emp-not-inc,HS-grad
Private,Masters
Self-emp-not-inc,HS-grad
?,HS-grad
Private,HS-grad
Without-pay,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Masters
Private,Some-college
Local-gov,Bachelors
Private,Some-college
Private,HS-grad
?,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-inc,Assoc-acdm
Private,7th-8th
Private,9th
Private,Masters
Private,HS-grad
Self-emp-not-inc,9th
Private,HS-grad
Private,HS-grad
State-gov,HS-grad
Federal-gov,Masters
Private,5th-6th
Local-gov,Bachelors
Private,Some-college
Private,5th-6th
Private,5th-6th
Private,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Assoc-acdm
Private,Bachelors
Self-emp-inc,HS-grad
Private,Some-college
Private,7th-8th
Private,10th
Private,Some-college
Private,HS-grad
?,Some-college
Private,Some-college
State-gov,Masters
Private,Assoc-acdm
Private,11th
Private,HS-grad
Private,Assoc-acdm
Private,11th
Private,Some-college
?,11th
Private,HS-grad
Federal-gov,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
State-gov,HS-grad
Private,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,10th
Private,Assoc-voc
?,Some-college
Self-emp-not-inc,Some-college
Local-gov,HS-grad
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,HS-grad
?,Prof-school
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Bachelors
Local-gov,Bachelors
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Private,10th
Private,7th-8th
?,Preschool
Private,7th-8th
Private,Bachelors
Self-emp-not-inc,Prof-school
Private,Some-college
Private,HS-grad
Local-gov,HS-grad
Private,HS-grad
Local-gov,Bachelors
Private,10th
Private,Bachelors
Federal-gov,Prof-school
Private,Assoc-acdm
Private,Some-college
Private,Some-college
Private,7th-8th
Private,HS-grad
Private,10th
Private,Bachelors
Private,Bachelors
Private,Bachelors
Private,11th
Private,Some-college
Private,Some-college
Federal-gov,Some-college
Private,HS-grad
Local-gov,Masters
Private,HS-grad
Private,12th
Private,HS-grad
?,Assoc-voc
Private,12th
Private,HS-grad
Self-emp-not-inc,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,Some-college
?,Assoc-voc
State-gov,HS-grad
Private,Assoc-acdm
Private,Assoc-acdm
Self-emp-inc,Assoc-voc
Private,9th
Private,Bachelors
Private,HS-grad
Local-gov,Masters
?,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Private,7th-8th
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Bachelors
Private,HS-grad
Private,Some-college
Private,Bachelors
State-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Doctorate
Private,11th
Private,Some-college
?,HS-grad
Private,12th
Private,11th
Private,Some-college
Private,Some-college
Private,11th
Private,Assoc-voc
State-gov,Some-college
Federal-gov,Masters
Private,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-inc,Some-college
Private,Bachelors
Private,5th-6th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,12th
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,7th-8th
?,HS-grad
Private,Assoc-voc
Private,10th
State-gov,HS-grad
Local-gov,Masters
Self-emp-inc,Some-college
Self-emp-not-inc,HS-grad
Local-gov,Some-college
Private,Bachelors
Private,Assoc-voc
Private,Some-college
Private,Assoc-voc
Self-emp-not-inc,HS-grad
?,11th
Private,1st-4th
Private,HS-grad
Private,Some-college
State-gov,Masters
Self-emp-inc,HS-grad
Private,Some-college
Private,12th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Some-college
Private,HS-grad
Federal-gov,Assoc-acdm
Private,10th
Private,Masters
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,7th-8th
State-gov,Some-college
Self-emp-not-inc,HS-grad
State-gov,Bachelors
Private,Some-college
Local-gov,Masters
Self-emp-not-inc,HS-grad
Private,1st-4th
State-gov,Some-college
Without-pay,7th-8th
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,9th
Private,HS-grad
Local-gov,Some-college
Private,11th
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,10th
Private,Masters
Local-gov,Some-college
Self-emp-inc,Assoc-voc
Private,10th
Private,HS-grad
Private,Masters
Private,Some-college
Private,Some-college
Local-gov,HS-grad
Private,HS-grad
Private,HS-grad
?,Some-college
Private,Bachelors
Private,12th
Private,Bachelors
Private,Bachelors
Private,HS-grad
?,HS-grad
Private,10th
Local-gov,HS-grad
Local-gov,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,9th
?,HS-grad
Local-gov,11th
Private,HS-grad
?,Some-college
Private,7th-8th
Private,Masters
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Local-gov,Masters
Self-emp-not-inc,Bachelors
Private,Bachelors
?,11th
Private,HS-grad
Private,Some-college
Private,HS-grad
?,HS-grad
Private,11th
Private,HS-grad
Private,HS-grad
Private,12th
?,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
State-gov,Masters
Private,Bachelors
Federal-gov,Some-college
Self-emp-inc,HS-grad
State-gov,HS-grad
Private,Some-college
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,10th
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
State-gov,Masters
?,Bachelors
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,Assoc-voc
State-gov,Bachelors
Private,HS-grad
Private,12th
Private,Bachelors
Private,Bachelors
Self-emp-inc,Prof-school
Private,HS-grad
Private,Bachelors
Local-gov,11th
Federal-gov,Masters
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Masters
Private,10th
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,9th
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
?,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Bachelors
Private,Some-college
Private,Doctorate
Private,Bachelors
Private,HS-grad
Private,HS-grad
?,10th
Private,HS-grad
Self-emp-inc,Bachelors
Self-emp-inc,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Self-emp-inc,Bachelors
Private,HS-grad
Private,HS-grad
Private,11th
Private,Bachelors
Private,HS-grad
Private,Assoc-acdm
?,Bachelors
Private,Masters
Private,10th
Private,HS-grad
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,Bachelors
Federal-gov,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,11th
Private,Assoc-voc
Private,Some-college
Private,HS-grad
State-gov,Bachelors
Private,Bachelors
Private,Some-college
Local-gov,Bachelors
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-inc,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Self-emp-not-inc,7th-8th
Private,HS-grad
Private,Bachelors
Private,Masters
Private,HS-grad
Private,Some-college
Self-emp-inc,HS-grad
Private,7th-8th
Private,HS-grad
State-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Masters
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Assoc-voc
Local-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-inc,Some-college
Self-emp-inc,Bachelors
Private,Bachelors
Private,Bachelors
Private,10th
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
State-gov,Bachelors
Private,Assoc-voc
Private,Assoc-voc
Local-gov,Assoc-voc
Private,Bachelors
Private,Assoc-acdm
Private,Some-college
Self-emp-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,11th
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Assoc-voc
Local-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Masters
Private,Some-college
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Local-gov,10th
?,HS-grad
Private,HS-grad
Local-gov,HS-grad
Federal-gov,Bachelors
Private,Some-college
Private,HS-grad
?,Some-college
Private,HS-grad
Local-gov,Bachelors
Private,5th-6th
Private,HS-grad
Private,Some-college
Private,Assoc-voc
Private,HS-grad
?,11th
Self-emp-inc,HS-grad
Self-emp-not-inc,Some-college
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Assoc-voc
?,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,HS-grad
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Private,Assoc-voc
Private,Bachelors
Private,Assoc-voc
Private,Assoc-voc
Self-emp-inc,Bachelors
Private,Some-college
Local-gov,Assoc-voc
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Masters
Private,HS-grad
Private,Some-college
State-gov,Some-college
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Masters
Self-emp-inc,Some-college
Private,Masters
Private,HS-grad
Self-emp-not-inc,Some-college
Private,Bachelors
Private,HS-grad
Federal-gov,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Masters
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,11th
Private,HS-grad
Private,HS-grad
?,Masters
Private,HS-grad
Private,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Local-gov,Masters
?,Some-college
Private,12th
Self-emp-not-inc,Some-college
Federal-gov,HS-grad
Self-emp-not-inc,Prof-school
Self-emp-not-inc,5th-6th
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,Some-college
Private,HS-grad
Private,9th
Self-emp-not-inc,Some-college
Private,Some-college
Private,Some-college
Private,7th-8th
Local-gov,9th
Private,10th
Private,Masters
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,7th-8th
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Bachelors
Self-emp-inc,Bachelors
Private,HS-grad
Self-emp-inc,Assoc-voc
Self-emp-not-inc,Some-college
Private,Assoc-voc
Private,Masters
Private,Some-college
Private,HS-grad
Self-emp-inc,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Assoc-voc
Private,HS-grad
Private,Some-college
Local-gov,Masters
?,Preschool
Self-emp-not-inc,HS-grad
Private,11th
Private,HS-grad
Private,Assoc-voc
Self-emp-inc,Bachelors
Local-gov,HS-grad
Local-gov,Bachelors
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Some-college
Private,7th-8th
Local-gov,HS-grad
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,HS-grad
Private,Bachelors
Private,Assoc-voc
Private,Masters
State-gov,Some-college
Private,Some-college
Private,Some-college
Private,5th-6th
?,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Bachelors
Private,12th
Federal-gov,HS-grad
Private,Assoc-voc
Private,9th
Private,7th-8th
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
State-gov,HS-grad
Self-emp-not-inc,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,11th
Federal-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,9th
Private,Some-college
Local-gov,HS-grad
Self-emp-not-inc,Some-college
Private,HS-grad
Private,11th
Self-emp-not-inc,HS-grad
Private,11th
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
Private,9th
Local-gov,HS-grad
Private,Some-college
Local-gov,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,12th
Private,HS-grad
Local-gov,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Assoc-voc
Private,Some-college
Private,11th
Self-emp-not-inc,HS-grad
Private,12th
State-gov,Some-college
Private,HS-grad
Private,Bachelors
State-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,10th
?,HS-grad
Private,HS-grad
Private,10th
Private,Bachelors
Local-gov,Assoc-acdm
Private,HS-grad
Private,11th
Local-gov,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
State-gov,Bachelors
Private,Assoc-voc
Private,Bachelors
Private,Some-college
Self-emp-not-inc,7th-8th
Local-gov,Some-college
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,Some-college
Federal-gov,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Local-gov,Some-college
Private,12th
?,Bachelors
Private,HS-grad
?,Some-college
Private,9th
Private,Some-college
Private,Assoc-voc
Private,9th
Private,9th
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Bachelors
State-gov,Assoc-voc
Private,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Masters
Self-emp-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Some-college
?,Some-college
Private,HS-grad
Self-emp-inc,Masters
Private,Bachelors
Federal-gov,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
?,7th-8th
Private,10th
Private,Assoc-voc
Private,Some-college
Private,Assoc-acdm
State-gov,Some-college
Private,Masters
Private,HS-grad
Local-gov,Some-college
Private,Masters
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,11th
Self-emp-not-inc,Prof-school
Self-emp-not-inc,Some-college
Private,11th
Private,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,Some-college
Local-gov,Some-college
Federal-gov,HS-grad
Private,12th
Private,HS-grad
Private,5th-6th
Private,Some-college
?,12th
Private,HS-grad
State-gov,Doctorate
Private,10th
Private,HS-grad
Private,11th
Private,HS-grad
Private,7th-8th
State-gov,Doctorate
Private,Bachelors
Self-emp-not-inc,Some-college
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-voc
Self-emp-not-inc,HS-grad
State-gov,Some-college
Private,HS-grad
?,HS-grad
Private,Bachelors
?,Some-college
Private,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,Some-college
State-gov,Bachelors
Private,11th
Private,Some-college
State-gov,Bachelors
State-gov,Assoc-acdm
Private,Bachelors
?,7th-8th
Private,Masters
Private,Bachelors
Private,Some-college
Private,Bachelors
Private,HS-grad
Local-gov,Prof-school
Private,Bachelors
Local-gov,Bachelors
Private,Bachelors
State-gov,Doctorate
Local-gov,Some-college
Private,Bachelors
Self-emp-not-inc,10th
Private,Some-college
Private,HS-grad
Private,11th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Self-emp-inc,Some-college
Private,Bachelors
Private,Some-college
Private,Masters
Private,Assoc-voc
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,11th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Federal-gov,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-inc,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Doctorate
Private,Doctorate
Private,HS-grad
Local-gov,7th-8th
Private,Bachelors
Private,10th
Private,Bachelors
Private,HS-grad
Private,HS-grad
Federal-gov,Assoc-acdm
?,HS-grad
Private,9th
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Some-college
Local-gov,11th
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,12th
Self-emp-not-inc,Bachelors
Local-gov,Some-college
Self-emp-not-inc,Masters
Private,11th
Private,Some-college
Private,Some-college
Private,HS-grad
Private,11th
Private,HS-grad
Private,Some-college
Self-emp-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-not-inc,9th
Private,HS-grad
Self-emp-not-inc,Some-college
Private,5th-6th
Private,12th
Federal-gov,Some-college
Private,HS-grad
?,Some-college
Private,Some-college
Private,11th
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Bachelors
?,9th
Local-gov,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,10th
Private,Assoc-acdm
State-gov,Bachelors
Private,5th-6th
?,HS-grad
Private,HS-grad
Private,Some-college
?,Some-college
Private,Some-college
Self-emp-not-inc,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Bachelors
Self-emp-inc,Masters
Private,HS-grad
Private,Assoc-voc
?,Bachelors
Local-gov,Some-college
Local-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Prof-school
Local-gov,Bachelors
Private,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,Some-college
Private,Masters
Private,HS-grad
Private,Some-college
Self-emp-inc,12th
Private,HS-grad
Private,HS-grad
Private,11th
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-not-inc,5th-6th
Private,Some-college
Private,Assoc-voc
Federal-gov,11th
Private,Bachelors
Private,HS-grad
Private,10th
Private,HS-grad
Self-emp-inc,HS-grad
Local-gov,Bachelors
Private,Some-college
Private,HS-grad
?,HS-grad
Private,Bachelors
Local-gov,Bachelors
Private,Bachelors
State-gov,HS-grad
Private,HS-grad
Local-gov,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,7th-8th
State-gov,Masters
Private,11th
Private,Some-college
Private,HS-grad
Self-emp-inc,Masters
Private,HS-grad
Private,Masters
Private,HS-grad
Self-emp-not-inc,11th
Private,Bachelors
Self-emp-inc,Doctorate
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-inc,Assoc-voc
Private,Some-college
Private,10th
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Private,1st-4th
Federal-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Bachelors
Federal-gov,Some-college
?,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Masters
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,Bachelors
Private,Masters
Private,1st-4th
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Some-college
Federal-gov,Some-college
?,HS-grad
Private,HS-grad
State-gov,Doctorate
Private,11th
Federal-gov,Some-college
?,Bachelors
Private,Bachelors
Private,Prof-school
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,Assoc-voc
Private,HS-grad
Self-emp-not-inc,Prof-school
?,Some-college
Private,Bachelors
Private,Masters
?,Masters
Private,Masters
State-gov,Assoc-voc
State-gov,HS-grad
Private,HS-grad
Private,HS-grad
?,Some-college
State-gov,Doctorate
?,7th-8th
Private,Assoc-voc
Private,HS-grad
Private,Masters
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Assoc-voc
Private,Bachelors
?,HS-grad
Private,Bachelors
Private,Some-college
Private,Assoc-voc
Self-emp-inc,Some-college
Self-emp-inc,Prof-school
Private,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Self-emp-inc,Masters
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,1st-4th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,11th
Private,Masters
Self-emp-not-inc,9th
Private,HS-grad
?,Some-college
Private,HS-grad
Private,7th-8th
Private,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,11th
Private,Some-college
Local-gov,7th-8th
Private,Some-college
?,Assoc-acdm
Private,Assoc-voc
Private,HS-grad
?,Some-college
Private,HS-grad
Private,Masters
Self-emp-not-inc,HS-grad
Private,7th-8th
Private,11th
State-gov,Doctorate
Self-emp-inc,Doctorate
Private,Some-college
?,HS-grad
Self-emp-inc,Bachelors
Private,11th
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
State-gov,Assoc-voc
Self-emp-not-inc,10th
Private,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Some-college
?,11th
Private,10th
Private,Some-college
Private,HS-grad
Private,Assoc-acdm
Private,Assoc-acdm
Private,Some-college
Local-gov,HS-grad
Self-emp-inc,Bachelors
Self-emp-inc,Bachelors
Private,HS-grad
Self-emp-not-inc,HS-grad
Federal-gov,7th-8th
Self-emp-not-inc,Some-college
Local-gov,HS-grad
Local-gov,Bachelors
Local-gov,Some-college
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,12th
Private,Some-college
Self-emp-inc,7th-8th
Self-emp-not-inc,Some-college
Local-gov,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Assoc-voc
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-inc,HS-grad
Private,HS-grad
?,HS-grad
Private,10th
Private,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Masters
Private,Some-college
Federal-gov,9th
Private,Bachelors
Self-emp-inc,Some-college
Private,Some-college
Private,Masters
Private,12th
Private,HS-grad
Private,Some-college
Private,Some-college
